,ED,ER,Nt
0,14.222408819754492,55.674471849422844,75
10,27.809007029005443,26.903332938345557,75
20,7.430699050011754,28.415061397401587,76
30,5.178391461977299,28.606194618347217,78
40,27.809007029005443,9.478026822431275,76
50,7.533195625361259,12.958771274174069,76
60,19.40080028173179,18.083796019738656,77
70,0.0,9.478026822431275,78
80,0.0,27.18118009392856,80
90,5.178391461977299,5.178391461977299,80
100,0.0,0.0,80
110,0.0,0.0,80
120,14.222408819754492,5.178391461977299,80
130,0.0,0.0,80
140,0.0,14.222408819754492,81
150,5.178391461977299,0.0,80
160,0.0,0.0,80
170,0.0,0.0,80
180,14.222408819754492,5.178391461977299,80
190,0.0,0.0,80
200,0.0,14.222408819754492,81
210,5.178391461977299,0.0,80
220,0.0,0.0,80
230,0.0,0.0,80
240,0.0,5.178391461977299,81
250,0.0,0.0,81
260,37.36914572700856,0.0,79
270,7.880186790164693,0.0,78
280,0.0,12.244977880661056,79
290,49.579004911161185,7.880186790164691,77
300,41.24767972027212,25.124167846347504,74
310,42.48674369661748,14.104842111615817,72
320,58.53040584453123,36.90421798539006,71
330,34.41726244178892,48.62677265316678,71
340,87.8257946194509,18.487048914574217,67
350,69.58891111430421,57.40593278022703,68
360,110.81453159988581,59.54143028813638,64
370,73.735641666388,54.64797401536168,65
380,225.7760909619634,60.19492891255493,57
390,130.59249640469295,96.3351901776382,57
400,262.30641569942793,59.511580387706715,45
410,309.979785311921,100.52336580040026,37
420,205.3056237929784,187.32706408305444,36
430,252.80040272697556,185.12287810550094,33
440,311.3218511629384,166.3624819717637,26
450,257.7031532383071,247.08636392645985,26
460,306.13678272286506,202.19143955612458,20
470,343.8700640146303,219.3829918026936,15
480,261.5226934184193,175.69131201269397,12
490,280.71519078614347,252.33844306375636,10
500,290.88273833538506,257.7391463113386,6
510,293.92403597508155,254.8884758585491,5
520,233.09209882763662,285.29837353386074,6
530,239.3541406004988,273.1678312491499,6
540,188.0628139836681,306.0140193097436,11
550,198.27348302087466,298.53849819524976,17
560,210.19768883912548,304.9576759100578,22
570,186.33539389888938,232.62207298652447,23
580,160.4729954634804,212.34797324791998,27
590,171.2131088137785,275.74308888573796,32
600,172.25198331745742,229.64807884557194,34
610,179.37248256502153,171.86427789486152,35
620,163.96084970715765,171.34492812857752,35
630,174.13819957222586,212.74459902490253,36
640,160.4729954634795,205.65047064459213,39
650,163.96084970715765,130.17465695742703,38
660,142.53618461398582,181.64640424238496,39
670,177.2132389253511,205.65047064459213,42
680,163.96084970715765,130.17465695742703,41
690,142.53618461398582,142.793643531837,40
700,153.4961619493888,205.9258962371223,43
710,183.91412331616448,130.17465695742703,41
720,142.53618461398582,161.69313063337813,41
730,158.31223846949706,172.94148519983537,42
740,182.86185016301351,150.12793056643386,41
750,142.53618461398582,142.793643531837,40
760,153.49616194938972,187.02489578126824,42
770,163.96084970715856,130.17465695742612,41
780,162.48945822299174,180.59413108923218,41
790,158.31223846949797,172.94148519983537,42
800,163.96084970715856,111.27516985588773,40
810,142.53618461398582,181.64640424238496,41
820,191.2966495067849,187.02489578126733,41
830,163.96084970715856,130.17465695742794,40
840,142.53618461398582,161.69313063337904,40
850,158.31223846949797,191.84248565569033,42
860,183.91412331616448,130.17465695742794,40
870,192.09070805921692,161.69313063337904,37
880,191.2966495067849,187.02489578126733,37
890,225.56262184606203,116.61556078727881,33
900,231.50594569003079,216.19456573116986,32
910,213.25519807201272,171.03113037892035,30
920,271.1780712473392,162.6403310268215,26
930,231.67518182628191,214.09346555495358,26
940,262.7803459202787,208.65652452550057,24
950,264.3457520829361,228.64447578243926,23
960,221.75327756526713,248.24861875440365,24
970,269.03584906441574,234.1493877071789,22
980,283.6745355554449,197.82231379323457,18
990,258.20698302540404,259.9829955244295,18
1000,275.22498342761355,205.6759056553583,14
1010,251.07167232691972,248.97165345489702,13
1020,260.3854868641829,266.77494931817455,12
1030,326.2874799483816,215.25169767650004,6
1040,287.52353984681395,230.74503088836718,2
1050,224.61801426340935,284.5128150477667,4
1060,316.2367684423516,246.80797557723963,0
1070,229.52391893817912,267.695102538788,3
1080,244.89465414953884,227.12943889944472,2
1090,231.49755589603046,376.77935221242296,10
1100,215.97941027117668,220.17563838493697,11
1110,212.46785944910334,265.8148940342562,14
1120,190.661639950893,342.43628702801107,21
1130,167.85757431143793,265.68333173826977,26
1140,95.0312800584652,270.08762632361504,33
1150,128.46884852341827,253.11641649644116,37
1160,136.86003134790735,221.18285261648634,40
1170,127.80773249832055,221.4308399366637,43
1180,86.51637621765985,205.1766949356679,49
